id,naam,locatie,provincie,gemeente,deelgemeente,is_vastgesteld,is_beschermd,omvang,erfgoedwaarde,bewaringstoestand,stijl,typologie,context,materiaal,plantensoort,datering,personen,gebeurtenissen,themas,disciplines,dataverantwoordelijke,stamomtrek
131479,Gemengde houtkanten in de Leivallei,Rekkelinge (Deinze),Oost-Vlaanderen,Deinze,Deinze,False,True,Element,aanwezig,bewaard,,houtkanten,"perceelsgrenzen, valleien",,"Alnus glutinosa, Crataegus, Fraxinus excelsior, Rhamnus catharticus, Rosa canina, Viburnum opulus",,,"Inventarisatie houtige beplantingen 2005-2013, Project beschermingsdatabank 2013-2016",Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,3500
132507,Hakhoutstoven van wintereik op de Klaverberg,"Klaverbergstraat (As), Opglabbekerzavel, Vliegplein (Genk)",Limburg,"As, Genk","As, Genk",False,False,Element,aanwezig,bewaard,,"autochtone vegetaties, hakhoutpercelen, hakhoutstoven","heiden, stuifduinen",,Quercus petraea,,,Inventarisatie houtige beplantingen 2005-2013,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,3100
130532,Cirkelvormige hakhoutstoof van zomereik Speelbos,Warandestraat (Wetteren),Oost-Vlaanderen,Wetteren,Wetteren,False,True,Element,aanwezig,bewaard,,hakhoutstoven,stuifduinen,,Quercus robur,,,Inventarisatie houtige beplantingen 2005-2013,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,2175
130530,Cirkelvormige hakhoutstoof van zomereik Speelbos,Warandestraat (Wetteren),Oost-Vlaanderen,Wetteren,Wetteren,False,True,Element,aanwezig,bewaard,,hakhoutstoven,stuifduinen,,Quercus robur,,,Inventarisatie houtige beplantingen 2005-2013,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,1890
130491,Hakhoutstoof van wintereik Klaverberg,Opglabbekerzavel (Genk),Limburg,Genk,Genk,False,False,Element,aanwezig,bewaard,,"autochtone vegetaties, hakhoutstoven",heiden,,Quercus petraea,,,Inventarisatie houtige beplantingen 2005-2013,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,1770
130544,Cirkelvormige hakhoutstoof van zomereik Speelbos,Warandestraat (Wetteren),Oost-Vlaanderen,Wetteren,Wetteren,False,True,Element,aanwezig,bewaard,,hakhoutstoven,stuifduinen,,Quercus robur,,,Inventarisatie houtige beplantingen 2005-2013,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,1666
130539,Cirkelvormige hakhoutstoof van gewone beuk Speelbos,Warandestraat (Wetteren),Oost-Vlaanderen,Wetteren,Wetteren,False,True,Element,aanwezig,bewaard,,hakhoutstoven,stuifduinen,,Fagus sylvatica,,,Inventarisatie houtige beplantingen 2005-2013,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,1615
130538,Cirkelvormige hakhoutstoof van gewone beuk Speelbos,Warandestraat (Wetteren),Oost-Vlaanderen,Wetteren,Wetteren,False,True,Element,aanwezig,bewaard,,hakhoutstoven,stuifduinen,,Fagus sylvatica,,,Inventarisatie houtige beplantingen 2005-2013,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,1380
131690,Hakhoutstoof van veldesdoorn bij rand Veursbos,Mostert (Voeren),Limburg,Voeren,Teuven,True,False,Element,aanwezig,bewaard,,hakhoutstoven,"bossen, perceelsgrenzen, weilanden",,Acer campestre,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,1350
130540,Cirkelvormige hakhoutstoof van zomereik Speelbos,Warandestraat (Wetteren),Oost-Vlaanderen,Wetteren,Wetteren,False,True,Element,aanwezig,bewaard,,hakhoutstoven,stuifduinen,,Quercus robur,,,Inventarisatie houtige beplantingen 2005-2013,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,1322
