en,nl,uri,
id,id,id,
name,naam,naam,
location,locatie,locatie,
county,provincie,provincie,
municipality,gemeente,gemeente,
borough,deelgemeente,deelgemeente,
is_determined,is_vastgesteld,is_vastgesteld,
is_protected,is_beschermd,is_beschermd,
extent,omvang,omvang,
heritage value,erfgoedwaarde,erfgoedwaarde,
state of preservation,bewaringstoestand,bewaringstoestand,
style,stijl,stijl,
typology,typologie,typologie,
context,context,context,
material,materiaal,materiaal,
plant species,plantensoort,plantensoort,
dating,datering,datering,
persons,personen,personen,
events,gebeurtenissen,gebeurtenissen,
themes,themas,themas,
disciplines,disciplines,disciplines,
data manager,dataverantwoordelijke,dataverantwoordelijke,
