id,naam,locatie,provincie,gemeente,deelgemeente,bewaringstoestand,structuren,gebeurtenistypes,brontypes,stijl,typologie,context,materiaal,plantensoort,datering,gebeurtenissen,themas,disciplines,zichtbaarheid,dataverantwoordelijke
30015,Hof te Eksel (M325),Aalsterse Steenweg (Aalst),Oost-Vlaanderen,Aalst,Moorsel,bewaard,"Feodale motte, Site met walgracht","archeologische opgravingen, archeologische veldkartering, erfgoedonderzoek","archief, literatuur",,"gebouwplattegronden, motteheuvels, mottekastelen, muurresten, sites met walgracht",,"bot (dierlijk), brons, geglazuurd aardewerk, grijs aardewerk, huttenleem, kalkzandsteen, keramisch bouwmateriaal, Maaslands aardwerk, majolica, mortel, natuursteen, pleister, rood aardewerk, steengoed, uitvloeiingsgesteente, zand",,"16de eeuw, late middeleeuwen, volle middeleeuwen","Archeologische opgravingen, Archeologische opgravingen Aalst, Archeologische veldkartering Aalst, Erfgoedonderzoek",Mottes,Archeologisch,publiek,Agentschap Onroerend Erfgoed
226833,Aalst Affligemdreef,Affligemdreef (Aalst),Oost-Vlaanderen,Aalst,Aalst,niet bewaard,Recente verstoringen,"archeologisch vooronderzoek met ingreep in de bodem, sleuvenonderzoek",nota (archeologieportaal),,,,,,20ste eeuw,Vooronderzoek Aalst Affligemdreef,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
981643,Alfons de Cockstraat,Alfons De Cockstraat 12 (Aalst),Oost-Vlaanderen,Aalst,Herdersem,bewaard,Vuurstenen artefacten,"archeologisch vooronderzoek, proefsleuven en proefputten i.f.v. sporensites, verkennend archeologisch booronderzoek, waarderend archeologisch booronderzoek",archeologienota (archeologieportaal),,archeologische objecten,,lithisch materiaal,,steentijd,Vooronderzoek Herdersem Alfons de Cockstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982555,Van De Maelestraat,Alfons Van de Maelestraat 8282A (Aalst),Oost-Vlaanderen,Aalst,Erembodegem,niet bewaard,Recente kuilen,"bureauonderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,kuilen,,,,20ste eeuw,Archeologisch vooronderzoek  Van De Maelestraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983494,Baatmeers,Baatmeers (Aalst),Oost-Vlaanderen,Aalst,Herdersem,niet bewaard,Handgevormd aardewerk,verkennend archeologisch booronderzoek,nota (archeologieportaal),,"losse vondsten, vaatwerk",,aardewerk,,vroege ijzertijd,Verkennend archeologisch booronderzoek Lebbeke-Opwijk,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980010,Bert Van Hoorickstraat,Bert Van Hoorickstraat (Aalst),Oost-Vlaanderen,Aalst,Aalst,bewaard,"Verdwenen kapel, Boldersbol, 17de-18de eeuwse scherven, Overwelfde beek","archiefonderzoek, evaluerend terreinonderzoek, literatuurstudie, toevalsvondsten","literatuur, toevalsvondst (archeologieportaal)",,"beken, kaaimuren, kapellen (klein erfgoed), palen, recreatieve objecten, vondstenconcentraties",,"aardewerk, hout, steengoed",,"17de eeuw, 19de eeuw","Archiefonderzoek Bert Van Hoorickstraat, Toevalsvondst Bert Van Hoorickstraat",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
987968,Gudstraat,"Beugemstraat, Gardebaan, Gudstraat, Kattenbroekstraat, Koning Albertstraat, Rijgerstraat (Aalst)",Oost-Vlaanderen,Aalst,Herdersem,niet bewaard,"Middeleeuwse sporen, Sporen post-middeleeuwse hopteelt","landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,"afwateringsgreppels, hopakkers, kuilen, paalsporen",,aardewerk,,"middeleeuwen, nieuwe tijd, nieuwste tijd",Archeologisch vooronderzoek Gudstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
209004,Bieststraat,Bieststraat (Aalst),Oost-Vlaanderen,Aalst,Hofstade,bewaard,Grondsporen,"archeologisch vooronderzoek met ingreep in de bodem, proefsleuven en proefputten i.f.v. sporensites",literatuur,,"greppels, kuilen, paalkuilen",,,,nieuwe tijd,Archeologisch vooronderzoek met ingreep in de bodem Aalst,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
159914,Blektestraat II,Blektestraat (Aalst),Oost-Vlaanderen,Aalst,Hofstade,bewaard,Grondsporen,archeologisch vooronderzoek met ingreep in de bodem,literatuur,,"grachten (infrastructuur), kuilen",,,,"late middeleeuwen, nieuwe tijd",Archeologisch vooronderzoek met ingreep in de bodem Aalst,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
988364,Bosveld,Bosveld (Aalst),Oost-Vlaanderen,Aalst,Aalst,niet bewaard,Grondsporen,proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,"greppels, kuilen, ovens, vaatwerk",,aardewerk,,"nieuwe tijd, nieuwste tijd",Proefsleuvenonderzoek Bosveld,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
981018,Brakelstraat,Brakelstraat (Aalst),Oost-Vlaanderen,Aalst,Onbepaald,bewaard,"Kuilen merovingische periode, Paalsporen","archeologische opgravingen, palynologisch onderzoek, radiokoolstofdatering",eindverslag (archeologieportaal),,"kuilen, paalsporen",,,,"Merovingische periode, nieuwe tijd, nieuwste tijd",Opgraving Aalst Brakelstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980474,Aalst Brakelstraat,Brakelstraat 14 (Aalst),Oost-Vlaanderen,Aalst,Onbepaald,bewaard,"Twee vroegmiddeleeuwse kuilen, Postmiddeleeuwse greppel","archeologisch vooronderzoek met ingreep in de bodem, sleuvenonderzoek",nota (archeologieportaal),,"greppels, kuilen",,,,"nieuwe tijd, nieuwste tijd, vroege middeleeuwen",Vooronderzoek Aalst Brakelstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
224283,Brusselbaan 208,Brusselbaan 208 (Aalst),Oost-Vlaanderen,Aalst,Erembodegem,bewaard,"Funderingsrestanten, Losse vondsten","archeologisch vooronderzoek met ingreep in de bodem, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,"archeologische objecten, losse vondsten, muurresten",,aardewerk,,19de eeuw,Archeologisch vooronderzoek met ingreep in de bodem Aalst,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984656,Brusselse Steenweg 59,Brusselse steenweg 59 (Aalst),Oost-Vlaanderen,Aalst,Aalst,niet bewaard,,"landschappelijk bodemonderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,,,,,,Vooronderzoek Brusselse Steenweg 59,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
